row_id,surface_contract,required_behavior,physical_lanes,nature,partition_kind,owner_track,live_operational_owner_task,dependency_gates,day_release_window_binding,route_binding,missing_artifacts,next_action,state,verdict
PGQA-L01,`fire` → `fire-detections`; event/daily Parquet,"Detections show correct day, confidence/source and event meaning; no empty-as-no-fire assertion.",fire-detections,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Five-day scheduled polling does not prove deeper history; submit horizon owner and source/absence/rung receipts; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L02,`fire-perimeters` → same; event over static lookup,Correct perimeter boundary and capture/release semantics; no false instantaneous observation/history.,fire-perimeters,static_lookup,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Bind captured source-version/as-of semantics; do not invent uncaptured history; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L03,"`water` → `water-gauges`; daily series, selectable floor 2022-08-05","Gauges, flow units/age and selected date agree; pre-floor unsupported state differs from zero flow.",water-gauges,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Respect selectable floor 2022-08-05; bind historical ownership and recent poll publication without database archive replay; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L04,`drought` → `drought-areas`; daily selector over release series,Published weekly classification valid for requested day; release date not shifted by local timezone.,drought,release_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Resolve required older release intervals outside latest 60 settled weeks; preserve actual release date and bounded carry; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L05,`weather` → `weather-observations`; daily series,Current sampled product is not represented as a continuous forecast; clear unavailable day and stale frame.,weather-observations,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement + weather experience,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Bind real selected-day samples and requested/served notice or refusal; sampled weather has no admitted forecast horizon; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L06,`sensors` → same; snapshot over daily data,Fixed reference and supported station attributes disclosed; no invented scrubbable observation series.,sensors,daily_series; UI snapshot,observed or explicit non-Parquet/refusal scope,Retirement + gapless,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Supply missing rescue/candidate/independent receipts; resolve partial pagination and positive-poll versus absence conflict; no daily UI axis; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L07,`watersheds` → same; snapshot/static lookup,Boundary support and HUC zoom rung are truthful; reference release shown without daily axis.,watersheds,static_lookup,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Supply captured source/version and native topology with explicit null daily axis; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L08,`vegetation` → same; daily series,Measured NDVI cells and composite alternatives keep their product/time/source meanings distinct.,vegetation,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Supply historical owner outside bounded 400-day window and immutable 0.25-degree support; distinguish measured and composite products; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L09,`soil` → null; permanently withheld raster,Disabled row explains unpublished SoilGrids raster and point-query alternative; stored active ID cannot draw it.,,withheld raster; not registered,observed or explicit non-Parquet/refusal scope,Retirement + reader + multiscale,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Supply twelve full-object COG/PMTiles identities and static reader admission; keep unsupported SoilGrids map claim withheld; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L10,"`soil-survey` → same; snapshot/static, declared PostgreSQL reader gate",SSURGO supported geometry and reference meaning; catalogue withholds unsupported Parquet claim rather than inventing readiness.,soil-survey,static_lookup; reader gate,observed or explicit non-Parquet/refusal scope,Retirement + reader + multiscale,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Admit governed native/detail plus generalized low-zoom SSURGO; current declared PostgreSQL gate does not prove Parquet acceptance; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
