requirement,owner_and_gate,freeze_key,prerequisite,required_evidence,state,verdict
"WX-01 — PGQA-L05, M11, D13","QA; historical-weather visual intake, reader support contract",F0 + FD,"Governed populated raw samples and aggregate cells for exact selected days, source/product, support and units","Real painted temperature labels, `avg` versus raw values, zero/missing distinction, selected feature and distance/support disclosures; match reader, legend, report and answer at coarse/middle/detail.",blocked,RED
"WX-02 — PGQA-L05, M06/M11, D12",QA; historical-weather dense-basemap and picking gates,F0; F1 if interaction correction needed; FD,Populated wind/precipitation feed and dense admitted basemap on fixed day/camera,"Wind-label collision/readability, precipitation hover/selection, equivalent persistent touch/text detail, unit agreement, overlapping feature identity and style/opacity recovery. Synthetic raw-sample smoke is insufficient.",blocked,RED
"WX-03 — PGQA-T02/T04/T08, W06",Reader with QA; requested/served-day follow-up in conditional approval,F0 for contract intake; F1 for required policy/caption changes; FD,"Owner-approved allowed relationship for populated current-day `requestedDay` and `servedDay`, plus exact catalogue/reader evidence for 2025-04-28 and real day transitions","Show notice or refusal for differing days; never relabel retained or neighbouring data. Capture request, settled response, painted frame and report across rapid day/place changes and delayed replies. Ready-to-outage fixture remains completed.",blocked,RED
"WX-04 — PGQA-G02/G04/G09, M10, D12, L05",QA; historical-weather mobile and accessibility acceptance,F0; FD for populated variants,"Mobile browser/input profile, current historical report in unavailable and governed-populated states; frozen device and accessibility scope","Narrow portrait/landscape reflow, sheet/report reachability, touch targets, scroll versus map gestures, keyboard focus/return, announcements, units and non-colour states. Desktop 1280x720 evidence does not cover these variants.",not_run,RED
WX-05 — PGQA-W01/W04/W05/W07,Forecast plane F0–F3; forecast experience X0/X1/X4,FW + FD,"Admitted deterministic provider/model with rights, horizon, variables, time/support schema, immutable complete run and bounded location reader",Distinct sampled Now/History/Forecast identity; picked/searched-location current/hourly/daily cards only over supported horizons; run/issue/valid/interval/timezone/units agree with map/tool/answer. Preserve explicit unavailable states and no cross-product fallback.,blocked,RED
WX-06 — PGQA-W02/W03/W08,Forecast plane F1/F3/F4; forecast experience X2–X4,FW + FD,Governed scalar support/domain masks and vector u/v fields; admitted interpolation if any; frozen byte/texture/particle/frame budgets,Real-data desktop/mobile continuity; vector wrap/cancellation and direction semantics; no animation across no-data; pause/reduced-motion static/text equivalent; cold/warm performance and GPU/style/unmount cleanup; independent scientific/design/accessibility/agent review.,blocked,RED
"MS-01 — PGQA-L11–L22, M05, D09/D10",Multiscale M3; reader; QA,F0 + FD,"Populated climate/soil products with required depth/statistic intersections, stable support IDs, aggregation and real source units","Live zero, tiny nonzero, missing/non-numeric and `avg` labels at all rungs; labels/legend/details/tool agree; isobands retain range meaning without measurement labels. Do not treat repeated/collision-omitted labels as observation counts.",blocked,RED
"MS-02 — PGQA-M08/M11, L01–L08/L10–L22",Multiscale M0/M3; reader support and production acceptance,F0 + FD,"Published cross-product detail/aggregate pairs and production visual baselines for MTBS, fire, air temperature and soil moisture","Counts/sums conserve detail under declared aggregation; one physical rung at a time; adjoining boundaries and source-part seams show no cracks/nested blocks. Preserve native polygons, detection-density meaning, discrete vegetation 0.25-degree support and the recorded soil-survey coarse-summary deviation.",blocked,RED
"MS-03 — PGQA-M06/M11/M12, D12/D13",Multiscale M3 with QA; feature owner for hover,F0; F1 if missing interaction needs implementation; FD,"Governed populated signals, dense basemap and real selection support; climate/soil shared hover contract supplied by owner","Hover/touch equivalent selects the painted support and value; labels stay readable through style reloads, opacity and rapid day changes. Existing climate/soil lack of shared hover registration remains open, not newly delivered by labels.",blocked,RED
"MS-04 — PGQA-M10, L11–L22, T10",Multiscale M3; production acceptance; QA mobile,F0 + FD,"Dense real payloads, named cold/warm states and predeclared request/byte/feature/frame budgets; full mobile application","Desktop/mobile canvas captures and pixel probes with basemap, reflow/touch journeys, response feature/byte counts and measured request-to-paint/frame behavior. Fixture settle waits of roughly one second are not live performance results. Submit exact renderer packet.",blocked,RED
"RD-01 — PGQA-L01–L27, T03/T05–T08",Reader R0/R2 and QA; production A1/A2,F0 + FD,"Per-product latest eligible, populated historical, governed-empty, missing/unwritten, outside-coverage and withheld fixtures; required rungs/depths/statistics; pinned reference releases","Catalogue, exact reader, painted state, legend/details/answer reconcile. Prove common-lane intersections, checksum/stale/bootstrap/rung failure behavior, recorded versus carried days, static/null axes and honest source ceilings. Unsupported soil/soil-survey claims remain withheld.",blocked,RED
"RD-02 — PGQA-T03/T06/T08, G09/D12",Reader R2 coverage/source-ceiling caption; QA accessibility,F1 + FD,Caption implementation plus capability fixtures with `coverageAuthority` and `sourceCeilingDay`; owner reconciliation of recorded-versus-carried rule,"Visible accessible text distinguishes index authority from census/object-walk authority and legitimate source ceiling from delayed publication. Current layer-panel source consumes neither field; this is an implementation prerequisite, not just missing screenshots.",blocked,RED
"RD-03 — PGQA-T10, M12","Reader R0 timings/R2 traces, gates 7/9; production A1/A2",F0 + FD,"Exact effective coverage policy, pointer/generation/rollup/bootstrap identities and named cache states per lane","Coarse/middle/detail cold/warm catalogue time, day-row TTFB, request-to-paint; pointer/generation/rollup/bootstrap GET counts and zero historical LIST/data-part reads for admitted time-bearing availability scope. Reconcile literal two-GET gate with actual request classes; census-policy/static exceptions cannot be silently called zero-LIST.",blocked,RED
"RD-04 — PGQA-T01/T02/T04/T08–T12, M08/D13",Reader production halves of gates 1/4; QA,F0 + FD; F1 for corrections,"Settled selected days, carried snapshots, delayed/reordered responses, timezone/date boundaries, temporal/spatial neighbours and saved-device day fixtures","Pan changes bbox while day stays settled; scrub requests bounded viewport and no live `/api/fires`; zoom chooses one rung; pin/step controls work by touch/keyboard. Requested/served/painted dates, neighbour offsets, saved-versus-published bands and `truncated=false` agree. Preserve already-proven cancellation scope and batching asymmetry.",blocked,RED
GP-01 — PGQA-T03/T06/T08 prerequisite,Gapless P0 census/P1 registration/P3 tails; environmental retirement acquisition ownership,FD,"Current source-direct or preserved-Parquet owner for every required soil-wetness, precipitation, dew-point, drought and burn-severity interval outside scheduled windows; exact requested floors and already-satisfied intervals","Source inventories, provider floor/ceiling/lag, unresolved interval list and receipt-backed governed absences; terminal/all-rung and availability reconciliation. Generic repair definitions do not prove source acquisition or complete history.",blocked,RED
GP-02 — PGQA-T10 prerequisite,Gapless P3; environmental retirement effective executor boundary,FD,"Exact deployed command/definition, active/required lanes, checkpoints/leases and effective cutoff, supplied by authorized owner","Readback proves exclusive ownership and no overlapping writer. Historical `configured_pending_deployment` pause is not an effective cutoff. Bind definitions and runtime configuration, not only a release SHA.",blocked,RED
GP-03 — PGQA-T06/T10 prerequisite,Gapless P3/P4; production A3,FD,"GP-02 proof, settled source input, exact run/work-item/attempt/output identities",Transient failure → retry → terminal publication; restart retains cursor/definition with bounded catch-up; expired lease reclaim fences stale worker. Preserve implemented derived-empty completion while checking actual marked rungs and legacy repair needs. Tests/registry presence alone cannot prove observed recovery.,blocked,RED
GP-04 — PGQA-T10 prerequisite,Gapless P4; production A3,FD,"Activated product/lane list, valid owner/cutoff and sufficient source advances","At least three consecutive scheduled advances per activated lane with run/time/output/receipt identities, coverage and all-rung reconciliation. Completed temperature historical generations and configured MTBS daily/weekly duties do not count as future burn-in.",blocked,RED
BT-01 — PGQA-B01/B04 prerequisite,Botanical profile P0/P1,FB,"Admitted non-Herbaria source field rights/version/units/context, authority/version/taxon-concept mapping, per-assertion review/provenance and conflict/missingness schema","Field-by-field admission and reviewed assertion packet; separate measured traits, curated requirements, categorical summaries and effects. Wide Species rows, false defaults and companion citations cannot establish provenance for species-level growth/fuel/agricultural assertions.",blocked,RED
BT-02 — PGQA-B01–B05,Botanical profile P2/P3/P4; QA,FB + FD,"Approved immutable profile/assertion/decision/manifest release, stable taxon mapping and registered API/agent/MCP readers","Exact taxon+release lookup retains per-value licence/source/unit/method/review, synonyms and conflicts, field missingness and section separation; empty/unavailable release refuses without editable-database fallback. UI/tool/final answer uses same release and refuses unsupported planting/fuel/effect/ranking claims.",blocked,RED
"BT-03 — PGQA-B04/B05, A15/A16",Botanical profile transitional checkpoint; QA agent parity,F0; future authorized isolated service packet required,"Explicitly synthetic permitted UUID/absent/invalid-ID and approved-companion fixtures, local endpoint/blueprint and role identities","Service-backed HTTP/agent/MCP and final-answer consistency for the narrower unpublished/unverified authoring response, bounds, missingness and refusals; measure no silent conversion into release evidence. Existing focused wiring tests remain completed. No database or census is accessed for this audit.",blocked,RED
BT-04 — PGQA-B02/B03/B06,Botanical profile P2/P4; source/release owner,FB + FD,"Two admitted release identities, bounded pagination, competing/withdrawn assertions, conditional publication and rollback receipts","Pin/cache identity survives source update; continuation is bounded; original assertions/conflicts retained; authoring-to-artifact conservation, replay/interruption/rollback and per-value evidence remain exact. A second source is separately admitted enrichment.",blocked,RED
BT-05 — PGQA-B07–B11,"Occurrence plane/experience, Herbaria admission; recommendation validation separate",FO + FD,"Exact source rights and withheld-coordinate rules, governed release-set/QC/taxonomy, uncertainty-aware support, multiscale reader; objective-effect source for any later recommendation gate","Occurrence detail, exact-concept richness, effort, filters and neighbours retain uncertainty/offsets and release identity. Refuse abundance, current occupancy, surveyed absence and suitability. Profile data and metadata-only Herbaria admission work cannot unlock occurrence or ranking.",blocked,RED
AP-01 — PGQA-A15,QA; botanical owner supplies added tool contract,F0; FB/FW/FO when integrated manifests change,Frozen service blueprint/provider/tool schemas and isolated MCP transport,Actual initialize/ping/tools-list/tools-call packet reconciles all 11 current names and schemas; bind later additions explicitly. Descriptor presence/import tests do not prove runtime discovery or execution.,not_run,RED
"AP-02 — PGQA-A05–A14/A17, T09",Reader and QA; community exception; production parity,F0 + FD,Admitted populated/historical/empty/missing/outside-domain fixtures for all 24 observation surfaces; bounded point/window/filter inputs,"Same role/place/day/window/filter/units/release across UI, tool and final answer. Compare exact values, source support, spatial distances/time offsets, coverage and refusals; preserve protected intervention publication and explicitly unsupported soil/demand/strategy scope.",blocked,RED
"AP-03 — PGQA-A02/A03/A08/A17, B05, W07","QA; botanical, weather and recommendation owners",F0 for current tools; FB/FW/FO for future claims; FD,"Truthful current-product/forecast-summary provenance, pinned evidence and missing/unavailable tool variants","Final generated answer distinguishes evidence from inference, sampled weather from forecast runs, growth compatibility from objective effects and documented occurrence from abundance. Refuse unsupported recommendations; successful tool calls alone do not close parity.",blocked,RED
AP-04 — PGQA-A15/A16,QA protocol/refusal acceptance,F0,"Isolated MCP/provider transport with malformed, unknown, unavailable and failure fixtures","Protocol negotiation, unknown method/tool, schema rejection, typed refusal and transport error are distinct; recovery works after error; diagnostics do not corrupt stdio and unavailable tools are named. No invented replacement answers.",not_run,RED
"AP-05 — PGQA-A01–A04, G05–G07",QA; community/organization ownership for protected data,F0; authorized role/service fixtures required,Separate synthetic identities/organizations and local conversation storage; approximate/exact location consent variants,Cancel sends nothing; only chosen precision is used; stream/cancel/retry and save/reopen/feedback preserve ownership. Session/role changes clear private context in UI and service; accessible mobile controls and final answers remain coherent.,blocked,RED
"RA-01 — PGQA-R01–R23, G01/G03/G05–G08/G10, O01–O09, P04–P06/P08",QA role/server-boundary acceptance; integration owns shared auth fixes,F0; F1 only if defects require changes,"Anonymous plus synthetic viewer/contributor/expert/admin, separate org memberships/owners, expired/foreign/malformed fixtures; permitted isolated endpoints and disposable fixture DB supplied in a later authorized task","Allowed and denied navigation/direct URL/API, refresh/deep-link, session expiry/sign-out/role or org change and private-cache invalidation agree. Include developer/admin API boundaries without activating jobs in this audit. Actual sessions prove server denial and UI behavior; hidden buttons alone do not.",blocked,RED
"RA-02 — PGQA-C01–C16, I01–I05, M10",Community completion and retained boundary owner; QA,F0 for integrated boundary source; F1 if corrections; authorized local fixture packet,"Disposable synthetic workflow environment, identities, consent and disabled external transports; separate real human contributor prerequisite for C16","Touch/keyboard draw, undo/edit/cancel/validation/style cleanup and restored map handlers; local submit → expert publish/reject → contributor outcome → map visibility with geometry preserved. Synthetic normal-flow rows prove mechanics only; they cannot satisfy C16 or production/training acceptance.",blocked,RED
"RA-03 — PGQA-G02/G04/G09, M02/M09/M10/M11, D12, T02/T11/T12; U variants throughout",QA accessibility/mobile; each feature track owns fixes,F0; corresponding FB/FW/FO for future surfaces,"Frozen browser/device/assistive-tech scope, portrait/landscape and 200% zoom; admitted service data for populated visual variants","Every relevant nav/dock/sheet/report/map control has names, focus/order/return, Escape, keyboard and touch operation, announcements, text equivalents, contrast/non-colour states, reduced motion and usable target size/reflow. Include scroll/drag versus map gestures; emulation and physical-device findings remain separate.",not_run,RED
"RA-04 — PGQA-G06/G09/G10, M12, D13, A02/A04",QA recovery and cache acceptance; owner of affected service,F0 + exact isolated service/configuration packet,"Controlled slow/failing/unavailable/cancelled responses, role transitions and named cache states","Mobile/desktop loading, retry, outage, stale report and focus recovery stay truthful; no duplicate writes, stale privileged action or private data from prior identity. Capture announcements and request-to-paint with final tool/answer context where applicable.",blocked,RED
RA-05 — PGQA-C15/O10,Community legacy moderation and QA UserPanel reachability,F0 for source/reachability reconciliation; F1 if owner supplies integration,Owner-reconciled mount or independently accepted scope exclusion for the historical source-only `ModerationPanel` and `UserPanel` questions,Retain distinct requirements until actual reachability is proved or exclusion accepted. Canonical contribution-review evidence cannot silently close a separate legacy moderation case; source presence alone does not prove a mounted user journey.,blocked,RED
QA-01 — cross-cutting Q2/Q3; production A0–A4,QA integration and independent verifier; [production acceptance](../../parquet_production_acceptance_20260901/spec.md) owns operational fan-in,Reconciled F0/F1/FB/FW/FO as applicable + FD,Complete owner reader/renderer/publication packets and every required remaining execution variant; exact service/deployment/release and rollback matrix supplied by its owner,"Reconcile task/base/commit/tree/diff/receipt hashes before verdict. Per product: newest eligible terminal, populated historical, governed-empty day × coarse/middle/detail × named cold/warm coverage/day/window/release/refusal routes; bounds/truncation, canvas, source/absence and scheduled/recovery evidence. After all fixes, one final integrated quality sweep plus separate scientific/design/accessibility/agent review. No blocked/unrun required cell can become GREEN.",blocked,RED
